Slot,time,completations,s,d,w,l,q,x,a,c,u
30,150.08314139428524,95,5.458634566382981,2.5690241314689786,8.027658697851964,5.0813673621904565,1.6261472822479581,0.8638050199856242,149.47430342699693,149.47430342699693,0.9394131128292319
31,154.59688787191217,99,5.420457269867586,2.6738940733343517,8.094351343201941,5.183421180127024,1.7122952273103,0.8677814882041804,152.0607344525297,152.0607344525297,0.9371243656449346
32,158.86467527317862,102,5.428396267862322,2.7495602047728442,8.177956472635168,5.250705097117448,1.7653713162134277,0.8713334452260046,156.75460228203414,156.75460228203414,0.947411316562032
33,165.0025397653792,107,5.404185769072515,2.742521556266194,8.146707325338712,5.28293494785431,1.7784563009620675,0.87611966172306,163.93011168843552,163.93011168843552,0.9401395156198992
34,169.8630705030158,110,5.43354545673914,2.6872168138934738,8.120762270632618,5.258846711791474,1.7401890160877205,0.8796644239259379,169.8630705030158,169.8630705030158,0.9633159890248463
35,174.8417515418803,114,5.417585301725996,2.6395729576597584,8.057158259385758,5.2534136353007295,1.7210495463443947,0.8830910222390832,175.3412168550843,175.3412168550843,0.9731396992611416
36,180.06591513796099,116,5.504322230871433,2.7046221746000576,8.208944405471495,5.288272076950922,1.7423406979229337,0.8864828447569965,178.2839855496535,178.2839855496535,0.9449064770720013
37,185.09729815569548,121,5.443197610347308,2.632595750038401,8.075793360385711,5.27922885068111,1.7209548109486807,0.889568509933107,184.17166892870935,184.17166892870935,0.9447171436133446
38,189.75621517803387,124,5.423094394346044,2.5689039173761814,7.991998311722228,5.222531392311808,1.6787017250306175,0.8859574168202972,187.5273061514413,187.5273061514413,0.9423311804298327
39,194.08317000332895,126,5.406747653867257,2.528127664719417,7.934875318586676,5.15137036418342,1.6412761897344463,0.8775235436122429,194.08317000332895,194.08317000332895,0.957504575348763
40,199.80343789383457,130,5.409265011132837,2.460398663931453,7.8696636750642925,5.120313687004517,1.6008324465419956,0.8798703101156299,199.80343789383457,199.80343789383457,0.9631156914014468
41,204.26434228906527,134,5.360907346637913,2.386953927694693,7.74786127433261,5.082695291434367,1.565872059345775,0.8792058080221472,200.82748214358926,200.82748214358926,0.9420823236939868
42,209.5250082660864,135,5.422832532343186,2.3692727874895474,7.7921053198327375,5.020566408194649,1.526556800822997,0.8735024018429124,209.5250082660864,209.5250082660864,0.9461903704204678
43,214.3160397049403,138,5.443815345085114,2.341699796749494,7.785515141834612,5.013162295516279,1.5078412814847333,0.8763302535078857,214.12717091822606,214.12717091822606,0.961739096297189
44,219.31398683274293,141,5.469775220801108,2.352299715392181,7.822074936193293,5.028920325288587,1.5123260703077948,0.8791485637451973,217.9393285077711,217.9393285077711,0.9652000347890403
45,224.87974020560776,145,5.472422893961487,2.3636489804852814,7.836071874446771,5.052613546938133,1.5240550431844517,0.88213962593842,224.766757252428,224.766757252428,0.9581297013769003
46,229.8395322221354,149,5.45477064478238,2.3241127980997325,7.778883442882113,5.042881969796355,1.506672083643883,0.8840524715381178,229.8395322221354,229.8395322221354,0.9599621222275483
47,234.53504757406068,154,5.39962913948231,2.2948923623942217,7.694521501876533,5.052363489148907,1.506868280303013,0.8863738022114733,233.583166599073,233.583166599073,0.9675274606039512
48,238.718613562843,155,5.441202233940929,2.280086605217485,7.721288839158415,5.013432979554798,1.4804602730137488,0.8832431766352621,238.718613562843,238.718613562843,0.9505714515312442
49,244.62803092007354,158,5.404261803034513,2.236793821574115,7.64105562460863,4.935193992885534,1.444697169328807,0.8726242058891812,244.62803092007354,244.62803092007354,0.9555980730207851
50,249.87161153936145,161,5.433836567432327,2.2843465592961065,7.7181831267284355,4.97306386967265,1.4718750712853108,0.8752971995968345,246.49117512818344,246.49117512818344,0.960632377321996
51,255.33374769489816,163,5.501203877170255,2.3432799654749084,7.8444838426451655,5.007762890313424,1.4959034511521483,0.8779648597903187,253.86123029432974,253.86123029432974,0.969504344538507
52,259.52103341773704,166,5.502682981145223,2.376271947144344,7.878954928289568,5.039693703711489,1.5199582786456394,0.8799338562664621,253.86123029432974,253.86123029432974,0.9538617137788574
53,262.84616517406585,170,5.4514464817377775,2.356047911520077,7.807494393257857,5.049623021796299,1.5238120164057536,0.8814527513476361,261.66293523618253,261.66293523618253,0.9709571059927081
54,269.7921218243783,173,5.499724759074871,2.324643403692108,7.82436816276698,5.017254332725944,1.4906414098352498,0.8816532307226733,270.0084218601939,270.0084218601939,0.9459592449657345
55,274.8019781617015,177,5.487432252166271,2.332678525307322,7.8201107774735945,5.0369346569927025,1.502478627488056,0.8836140073761615,273.85686579890256,273.85686579890256,0.9543507210111283
56,279.7616150826509,178,5.5680564961642,2.344836826127878,7.912893322292079,5.034625679265805,1.4919164479639355,0.8856773078254673,280.0362497528577,280.0362497528577,0.9463732003233073
57,284.85627864752036,183,5.521263082190286,2.287654913146698,7.808917995336985,5.0166771816707785,1.469656386348674,0.8867551988305259,284.6022341372587,284.6022341372587,0.9586870140329495
58,288.8293654806398,186,5.517653179426345,2.261871034460812,7.779524213887158,5.009848986009711,1.4565970870365366,0.8883129747432934,288.8293654806398,288.8293654806398,0.973872876176842
59,294.811946994783,189,5.556686864708323,2.3097714166278376,7.866458281336161,5.043081294120161,1.4807635924957492,0.8905794254061027,291.6344889085584,291.6344889085584,0.9541101972028989
60,298.86951298113013,192,5.550652542037118,2.285646492127935,7.836299034165054,5.034201714159734,1.468346912039406,0.8914637005300821,298.86951298113013,298.86951298113013,0.9551917612204585
61,304.99145921184464,196,5.562311596908085,2.3190015100279275,7.881313106936014,5.064854514127546,1.4902853251695969,0.8936422972394871,304.99145921184464,304.99145921184464,0.9594675177995529
62,309.8867036917355,200,5.54897025456774,2.4159146312123023,7.964884885780045,5.140514123963986,1.559224453602611,0.8953224175903435,309.8867036917355,309.8867036917355,0.963038985322319
63,313.76891872768783,204,5.516288779692929,2.5264913496035457,8.042780129296478,5.229093923737001,1.6426236142478783,0.8966175773722803,312.2534518285812,312.2534518285812,0.9722600225867548
64,319.82574077465415,207,5.553382605049385,2.662207394130618,8.215589999180006,5.317355400197464,1.723053714345403,0.8985754214630145,319.30583209304615,319.30583209304615,0.9538474772865421
65,324.83313819628034,213,5.490984924562101,2.693827570203782,8.184812494765886,5.36695569628646,1.7664000527763148,0.9001389108775358,324.2759388718229,324.2759388718229,0.9670937333420013
66,329.4430798080021,215,5.5256723505982075,2.7294531220181213,8.255125472616331,5.387431351257664,1.7812862287952727,0.9015362806155974,330.0192422470695,330.0192422470695,0.9636058140254506
67,333.96005845276585,219,5.501733635045242,2.6956277258218977,8.197361360867141,5.375559419731668,1.767703822696784,0.9019638992587208,333.96005845276585,333.96005845276585,0.9640344947539284
68,339.1379223223588,223,5.464966384579357,2.6472756589910116,8.112242043570369,5.334201387235797,1.7407150103191964,0.8983715942291501,339.1379223223588,339.1379223223588,0.975801262253503
69,344.8501868997464,226,5.482869753245906,2.6205192564920843,8.10338900973799,5.310613088730016,1.71737576044691,0.8983093320707767,345.1982241706719,345.1982241706719,0.9596376201947523
70,349.80921759616893,230,5.473759508779413,2.65367560883551,8.127435117614922,5.343798799519983,1.7447950463580115,0.8997509382904929,349.80921759616893,349.80921759616893,0.9574281693586943
71,354.7804593135692,234,5.46516946106353,2.6751901433689493,8.140359604432478,5.3690785313337175,1.7644559532943584,0.9011556445098399,350.36753211221543,350.36753211221543,0.9678770612805128
72,359.54148757073665,237,5.476345008090868,2.6792603700226167,8.155605378113483,5.3759539341968665,1.7660957904626582,0.9024645359335524,359.54148757073665,359.54148757073665,0.9550604874009433
73,364.8974653537082,241,5.474347211823327,2.678969171591949,8.153316383415273,5.384935317373019,1.7693506578014346,0.9038961648928967,363.5307592417469,363.5307592417469,0.9554529757756772
74,368.30943405711537,246,5.40599481135623,2.626207891743968,8.032202703100195,5.3648418483253755,1.7540879533073017,0.902688473754519,368.2557162752668,368.2557162752668,0.9547373330619686
75,374.7032413139496,248,5.438001091357155,2.605028795842807,8.043029887199957,5.323336422260437,1.7241567996678144,0.8997949056481561,374.7032413139496,374.7032413139496,0.957180869740705
76,379.92250797518966,251,5.45618062669934,2.6124653537725755,8.068645980471914,5.330640061027142,1.7259540828250637,0.9011714945505203,379.92250797518966,379.92250797518966,0.9602724257302954
77,384.83028285117166,253,5.490642042709338,2.6843939730745885,8.175036015783924,5.374535747731724,1.764808294597035,0.9024318632836726,384.83028285117166,384.83028285117166,0.9561384098875396
78,389.99991675767797,257,5.485645807126411,2.7538968349121684,8.239542642038577,5.429648489693493,1.8147477888108903,0.9037251752206512,389.99991675767797,389.99991675767797,0.9526825035955889
79,395.06833245271997,261,5.479251475906727,2.840361056330046,8.319612532236768,5.496312137783563,1.8764709160556714,0.9049603054319736,394.832367810976,394.832367810976,0.9573655828452209
80,399.09913325975657,265,5.457388069584159,2.9006013296145543,8.35798939919871,5.549666752460961,1.9259860227448033,0.9059201824290403,398.3692203062339,398.3692203062339,0.962699433274965
81,405.2814208716535,270,5.447914773657,2.990154077663887,8.438068851320882,5.621473061747221,1.9920518419839492,0.9073553049408187,404.7317333268487,404.7317333268487,0.9606332713990029
82,409.8852402753597,273,5.45550280770042,3.0431205317863586,8.498623339486777,5.660423805749232,2.026840255627565,0.9083958875304171,408.18995524833974,408.18995524833974,0.9644925457114153
83,414.92117725571626,277,5.449444095392205,3.12200729354262,8.571451388934822,5.722272481820487,2.0842417011131036,0.9095076951768464,415.3632456480463,415.3632456480463,0.9732133803800271
84,417.3957711394115,279,5.4458580285248095,3.1625547376009826,8.608412766125788,5.754124329512921,2.113947559607559,0.9100441924763412,417.16863432143623,417.16863432143623,0.9674435378345586
85,437.3149265078751,294,5.425394728074411,3.3258180129690906,8.751212741043497,5.883303747283496,2.2358955447071955,0.9118520506440757,421.1341482258464,421.1341482258464,0.9549929645582463
1,0.0,0,0,0,0,0,0,0,420000,420000,0
2,9.606265430149838,1,12.22165548537469,3.3359875344423404,15.55764301981703,1.6195308294301798,0.3472720547541966,0.3180646936689958,8.442891850616968,8.442891850616968,0.49045178287149366
3,13.933036960147355,5,4.821214399809218,0.8882883364243653,5.709502736233583,2.0489082001879653,0.31877053759533375,0.4325344156481579,13.933036960147355,13.933036960147355,0.7715393762192493
4,19.61410678520807,7,6.514488321241802,0.6960947385798543,7.210583059821657,2.5733561039249824,0.24842646282183425,0.581232410275787,19.61410678520807,19.61410678520807,0.8023747090816169
5,23.042294458050794,11,5.392197176369411,0.7299769684398881,6.122174144809299,2.922621951364434,0.3484786060458159,0.6435358363296545,23.042294458050794,23.042294458050794,0.8521991900776128
6,30.32642443473798,16,5.528168052925767,1.1967126033766786,6.724880656302446,3.547997909624613,0.6313768276649885,0.729155270489906,28.15127035818423,28.15127035818423,1.0401073144744508
7,33.694999997529685,18,5.30271778429199,1.0637445363348255,6.366462320626817,3.4009889235697943,0.5682564669960122,0.7081831141434454,33.694999997529685,33.694999997529685,0.9361251188229771
8,39.469894674107884,21,5.578432697453856,1.1167696770823738,6.69520237453623,3.5621896391198997,0.5941785102891189,0.7420027822076952,39.469894674107884,39.469894674107884,0.9521089910872845
9,44.527244471898854,26,5.283710993757494,1.6872401195813838,6.970951113338879,4.070423200366562,0.9852000416688985,0.7713057896744158,41.70947791649394,41.70947791649394,1.0502666333926538
10,48.08050370664968,27,5.614426769507339,1.9414938908256139,7.555920660332954,4.243089029884156,1.0902617695546664,0.7882068150823722,46.634930232975734,46.634930232975734,0.9726495261172785
11,55.14327000611578,32,5.620018374205079,2.252258076818456,7.872276451023536,4.568333477590543,1.3070000826972588,0.8153333487233209,52.856830159652716,52.856830159652716,0.9134893323039383
12,59.88487083352646,35,5.680199750977294,2.3754027267406004,8.055602477717896,4.7081355072787305,1.3883155174040336,0.829954997468674,59.411900297866424,59.411900297866424,0.9253154381978972
13,63.886306501375586,40,5.36882819419043,2.2223359850472093,7.591164179237642,4.752920990399838,1.3914318148909475,0.8403722938772221,63.886306501375586,63.886306501375586,0.9543541503242966
14,70.21110719683145,45,5.334496234432014,2.0682246876216057,7.402720922053623,4.744583226105947,1.3255753207545546,0.8547519763378476,68.27202072618952,68.27202072618952,0.9761887253265559
15,75.13405080382749,48,5.234119480288405,1.9389606446452554,7.173080124933663,4.582580631727047,1.2387207923338943,0.8359649598482877,73.67317760309564,73.67317760309564,0.9122267534489106
16,79.81561655749002,49,5.290036403852341,1.8993900192443318,7.189426423096678,4.413696340715401,1.1660639227905385,0.8119081044812148,79.81561655749002,79.81561655749002,0.9184005087144045
17,83.06423585793168,51,5.328348403839703,1.9048712519654807,7.233219655805189,4.4410714025829385,1.169557907164723,0.8178783738545531,82.01791434510764,82.01791434510764,0.946371697985162
18,89.42436175180653,55,5.396765569255801,1.8212463079027106,7.218011877158516,4.439401584386466,1.1201483015630862,0.8298133207058442,87.94371947633186,87.94371947633186,0.9633798820044439
19,93.82898057484027,57,5.428172935798154,1.7573429286780542,7.185515864476211,4.365116212132962,1.067565120296199,0.8243877729591902,93.82898057484027,93.82898057484027,0.9181558889906413
20,99.83403550025268,61,5.452635944317973,1.7242352607244564,7.176871205042433,4.385169259300155,1.05353199815233,0.8329093152869557,100.22770881932733,100.22770881932733,0.9075565861121313
