Slot,time,Set1.csv,Set2.csv,Set3.csv,Set4.csv,Set5.csv,Total,Tesse,Socio
19,94.89049946109068,0.9769456414822144,0.8409300787031422,23.464648370239267,3.709242808054919,0.8334774449964828,29.825244343476026,6.360595973236759,2.651353165181839
20,99.55319272216376,0.9723223739145468,0.8374524652667735,23.79115660033227,3.672399524095421,0.8329181556419188,30.10624911925093,6.31509251891866,2.642692994823239
21,104.6589384718939,0.9965007789421194,0.8356055307938823,24.08053834215048,3.6819839948706976,0.8206559657552032,30.415284612512384,6.334746270361903,2.652762275491205
22,110.29905666892162,0.9895470009251264,0.8286380334448791,24.77706468031657,3.5961681326655146,0.8140439314399187,31.00546177879201,6.228397098475439,2.632228965809924
23,114.66088633610576,0.9713562165367592,0.8329635416124789,24.614411016434943,3.5568391766238223,0.8290652602408822,30.804635211448883,6.1902241950139425,2.63338501839012
24,120.07581743700185,0.9528708192274216,0.8187171024681429,24.10911830181942,3.51172623597695,0.877480349258116,30.26991280875005,6.16079450693063,2.6490682709536806
25,124.87709872716852,0.9497893215829252,0.8111651367299175,22.880273212636173,3.5936283681441625,0.8715187173562504,29.106374756449426,6.226101543813256,2.632473175669093
26,129.87016067947803,0.940636886886648,0.813145059644228,22.477031400665936,3.5428407557599177,0.921245488328985,28.694899591285715,6.217868190619779,2.675027434859861
27,135.13367547108552,0.933890569368444,0.8085536304867964,21.626005705905214,3.516983911452908,0.947736300551604,27.833170117764965,6.207164411859752,2.690180500406844
28,139.6302425279416,0.9185955357784684,0.8036250639514899,21.165587471088568,3.458149480760574,0.959118152981575,27.305075704560675,6.1394882334721075,2.6813387527115333
29,144.9615896623909,0.911017222965848,0.796618378797723,20.40342886469872,3.487953769962771,0.9789358266113192,26.577954063036383,6.174525198337661,2.68657142837489
30,149.9085012825143,0.9137772943533072,0.7967388508435028,20.07665949235911,3.5253489049310995,0.9761451040168556,26.288669646503873,6.212010154144765,2.6866612492136657
31,154.917822218389,0.9102057338702556,0.7951806679769574,19.43530501158267,3.518477250112916,0.9723941556393434,25.631562819182143,6.196257807599473,2.6777805574865567
32,159.3965938467896,0.9080220199136534,0.7992282275815712,19.323951466173742,3.492828689361521,0.9628828664170036,25.48691326944749,6.162961803273749,2.670133113912228
33,161.60535456671127,0.8988220923601746,0.7978541120763561,19.013230492025667,3.4811638830892924,0.9602791809921576,25.151349760543646,6.138119268517981,2.6569553854286885
34,169.3971151732163,0.9125509188062478,0.7842568224402088,18.757906675285064,3.515099821429211,0.9471890390418484,24.91700327700258,6.159096601717517,2.643996780288305
