Time,Set1.csv_mean,Set1.csv_var,Set2.csv_mean,Set2.csv_var,Set3.csv_mean,Set3.csv_var,Set4.csv_mean,Set4.csv_var,Set5.csv_mean,Set5.csv_var,Total_mean,Total_var,Tesse_mean,Tesse_var,Socio_mean,Socio_var
60,0.37663276332642126,0.012054726826476464,0.3742927945514825,0.010169751407600788,0.8091630138745461,0.020485089854142238,0.6378747728247518,0.013737012079692452,0.36762639013972825,0.008460987987141113,2.5655897347169296,0.05266129155875719,1.7564267208423836,0.036097811065047176,1.1185519480176322,0.025547907432652714
61,0.37661731467271475,0.011788914444351312,0.3745443517519964,0.009793692000754181,0.8109763146412726,0.020393003677048376,0.6406081364155299,0.013539379193855727,0.368754090678982,0.00852013177771795,2.5715002081604967,0.05184609073729884,1.7605238935192227,0.03543601238528323,1.1199157571036928,0.024968931709068876
62,0.37661417224299676,0.0115040627919127,0.37472347719278687,0.009668730126190557,0.8130869419461386,0.020052759319451694,0.642707189133899,0.013485011861820429,0.3703224453515264,0.008532498390653776,2.577454225867347,0.05128146215030915,1.7643672839212092,0.03519837256246167,1.1216600947873099,0.02457657576510712
63,0.37684193925633885,0.011348312689194982,0.37446603604995027,0.00961301780518731,0.8150402343692912,0.019889799759086727,0.6450573597345671,0.0135765379518932,0.37035641154838733,0.008283942218047662,2.5817619809585333,0.05078500019881337,1.7667217465892437,0.03488374444081053,1.1216643868546767,0.024138790711975572
64,0.3775634883910057,0.011215253674021885,0.3745762858986722,0.009331946522738705,0.8158782156818638,0.019868819294892984,0.6466197039165525,0.013689566355164237,0.3712332028788088,0.008191612297909195,2.5858708967669037,0.050655255497615646,1.769992681085039,0.034767488146258525,1.1233729771684862,0.023870402248798515
65,0.3777333701499376,0.011156547026071549,0.3747468290252663,0.009102770190071057,0.8173316198434077,0.019773738474435934,0.6481603361184575,0.013550394322037735,0.3732336724298648,0.008239533108402456,2.591205827566933,0.050367291609726125,1.7738742077235259,0.03457456904252485,1.125713871605068,0.023727295256241294
66,0.3777783647897464,0.011284611367627779,0.37418288151975226,0.009017479462061532,0.8193749623006353,0.01948868755218715,0.6489507562723839,0.013496731855821346,0.3743179138406699,0.008516737363872824,2.5946048787231883,0.050208164163061855,1.7752299164225522,0.03463923835295442,1.1262791601501683,0.023942080187978235
67,0.3780134928883018,0.01093071861816428,0.37359199151631206,0.008999887839308225,0.8211628124624394,0.0192491340922328,0.6502026419582767,0.013258785641929676,0.37475972632583665,0.008471829800600041,2.597730665151167,0.04932786689523717,1.776567852688728,0.03392919294079717,1.1263652107304503,0.02344458260667955
68,0.3785213706407746,0.010951334738308456,0.3739846136939299,0.009038653365631696,0.8226379624937915,0.019059453426836695,0.6520472142765539,0.013099238895456325,0.3766682604120075,0.00826907481779364,2.6038594215170563,0.04885313385256016,1.7812214590232658,0.03365712023763351,1.1291742447467124,0.023332713282615727
69,0.37802682043797065,0.010791600352733778,0.3742504859816281,0.0090039726521852,0.8237277284230899,0.019100912513749527,0.6530877707013591,0.01296332574207216,0.37715284703126184,0.008116092830049106,2.6062456525753093,0.04845438946133369,1.782517924152219,0.033293372998077164,1.1294301534508606,0.02303035450844963
